Name, Enterprise, Country, level, research-words, Key-words, date, Link
Ingénieur Test et validation automobile,Technology & Strategy,França, junior, power electronics, design experience in Power Electronics/worst case analysis for each requirement/electrical design requirements,22/08/22, https://www.linkedin.com/jobs/view/3213321452/?alternateChannel=search&refId=9dbVy2U62F7w9sEG%2BrRIWA%3D%3D&trackingId=DHKAfmDg2%2BCGdplPX3IYyQ%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3Bd7RbBCSNRAWTqbF0g%2BxNWg%3D%3D
POWER ELECTRONICS & ELECTRONIC DESIGN ENGINEER,CTAG – Centro Tecnológico de Automoción de Galicia,Espanha, junior, power electronics, Power PCBA development/maintaining ASPICE workproducts/Automotive EE background/Hardware Design/EV components/Worst Case Scenarios analysis/Signal integrity/Power Integrity using simulation tools/PCBA industrialisation/Automotive electronics system testing/Automotive communications knowledge/Agile/Polarium /Jira,22/08/22, https://www.linkedin.com/jobs/view/3230862730/?alternateChannel=search&refId=6iy2%2BOC5UowjecLdIcyZpw%3D%3D&trackingId=IrNyu2uXIJCnFiqdqEhW7w%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3Bd7RbBCSNRAWTqbF0g%2BxNWg%3D%3D
Automation & Controls Engineer, Tesla, Alemanha, assistent, power electronics, ladder logic/  PLC controller/ databases/ Python/ SQL/ industrial electrical panels/ AutoCAD Electrical/ 6-axis robots (Fanuc/ Kuka)/ Profinet/ TCP/IP/ Modbus/ Kuka/ Fanuc or/and ABB Robotic hardware skills, 13/09/22, https://www.linkedin.com/jobs/view/3232113792/?alternateChannel=search&refId=YdRAfB7KpzmgLLT2p%2FYQ9A%3D%3D&trackingId=EuM063t4M2LfqcNiAQgSjg%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BDhw%2FRo19QS%2BvKaKeBSWv%2Fg%3D%3D&lici=EuM063t4M2LfqcNiAQgSjg%3D%3D
Junior Electrical Hardware Engineer, Körber Supply Chain, Alemanha, assistent, power electronics, energy requirements including compensation/ define grounding and electrical installation requirements and clarify interfaces/ taking existing engineering/ electrical design of the control cabinets/ e-technology hardware engineering/ Autocad/ SAP R3/ calculating the energy balance/ network quality and grounding, 13/09/22, https://www.linkedin.com/jobs/view/3170419735/?alternateChannel=search&refId=lO0kO%2Bzj%2BqRIG%2Fvt3uUXgA%3D%3D&trackingId=3AJ0a37B2UfK7aLTyoB2mQ%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BDhw%2FRo19QS%2BvKaKeBSWv%2Fg%3D%3D&lici=3AJ0a37B2UfK7aLTyoB2mQ%3D%3D
Ingénieur électronique de puissance, ANDRICE, França, junior, power electronics, automotive sector/Design and validation of HV electrical network protection for EV/ Design of mechatronic functions around 50 – 300 kW traction inverters/ Design and validation of 3 to 22 kW converters for so-called ‘hands-free’ charging/ Matlab/Simulink/ Altium/ LT-Spice/ reliability of electronic circuits, 13/09/22, https://www.linkedin.com/jobs/view/3258096609/?alternateChannel=search&refId=HY6lZLiPRmnZkFcB93nPOw%3D%3D&trackingId=wMW0xbc0CoUViEo4oqSt3A%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BE7EZ9G4xTxqmuhbHHa5zpA%3D%3D
Junior Electronics Design Engineer, OSB AG, Alemanha, junior, power electronics, DC/DC Converters/ analog and digital motor Controllers and drivers/ Design of power distribution/ overcurrent and overvoltage protection circuits/ Designing power supplies for multiple systems on chip/ Verifying the performance of your circuits by Simulation/ PCB layouts/  Mentor PADS/  motor Controllers/ C++/ Spiee/ HyperLynx/ ADS, 14/09/22, https://www.linkedin.com/jobs/view/3189590520/?alternateChannel=search&refId=%2BHiq9Mn4Z0JcXbRBFLKsuQ%3D%3D&trackingId=BI39QdTAa2p8mHMx1gjqeQ%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3By2J3GRjgStq0COshjo%2BUlw%3D%3D
Data Engineer, understand.ai, Alemanha, junior, python, end-to-end integration of customer data/ ETL tools/ 3D point cloud formats/ implement importers and exporters/ Python/ JavaScript/ Linear algebra concepts/ TypeScript/ NumPy/ Docker/ Kubernetes/ Google Cloud, 29/08/22, https://www.linkedin.com/jobs/view/3243483862/?alternateChannel=search&refId=WdZphr4v88djYwF6w66VqA%3D%3D&trackingId=%2FepVnZwGnqHgQHgLGm%2Fb%2Fw%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3B803jPYI8QmC9P%2F6vkRXs8Q%3D%3D&lici=%2FepVnZwGnqHgQHgLGm%2Fb%2Fw%3D%3D
Python developer, StarApple, Paises Baixos, assistent, python, Scrum/ Big Data Engine/ web application/ API links/ API connections with internal and external applications and databases/ software architecture/ Python/ Pandas/ Numpy/ Docker/ MySQL/ Protobuf/ gRPC/ Docker/ Unittesting and Git/ Pandas, 29/08/22, https://www.linkedin.com/jobs/view/3243702234/?alternateChannel=search&refId=jWqZmeK7a0EZw8b%2BThhHYQ%3D%3D&trackingId=YNxfWRti1A%2Btlryocfrxzg%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3B803jPYI8QmC9P%2F6vkRXs8Q%3D%3D&lici=YNxfWRti1A%2Btlryocfrxzg%3D%3D
Python Developer, Huxley, Países Baixos, assistent, python, Google Cloud/ Python/ back-end applications/ storage capabilities/ data processing layers and user interfaces/ AWS/ relational databases/ time series data stores/ PubSub/ Cloud Dataflow, 29/08/22, https://www.linkedin.com/jobs/view/3236360323/?alternateChannel=search&refId=jWqZmeK7a0EZw8b%2BThhHYQ%3D%3D&trackingId=Tj9ep0PrPBPAyRiM0Ll4kA%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3B803jPYI8QmC9P%2F6vkRXs8Q%3D%3D&lici=Tj9ep0PrPBPAyRiM0Ll4kA%3D%3D
Python Developer, Globant, Espanha, assistent, python, data structures/ algorithms/ object-oriented programming/ concurrency/ web technologies/ REST API/ Linux/ Django/ SQL/ NoSQL,13/09/22, https://www.linkedin.com/jobs/view/3234221850/?alternateChannel=search&refId=KZCxPsqSehlg9YMyf7s7AA%3D%3D&trackingId=2Eo0Z1BR0Rf%2FHUVuGRKwEA%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BOZEWJ9%2F6Rw2a8B9fq4Is4Q%3D%3D&lici=2Eo0Z1BR0Rf%2FHUVuGRKwEA%3D%3D
Junior Solution Architect,sonnen GmbH, Alemanha, junior, renewable energy, Solution Architecture Indicators/cloud-based/ migrate software/Ruby on Rails/MySQL/StimulusJS/Highcharts/Bootstrap,25/08/22, https://www.linkedin.com/jobs/view/3203563070/?alternateChannel=search&refId=nF0PJoY7wkn92QqDkEyjFg%3D%3D&trackingId=JowAvXfmIlYwaW0khODDlw%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BlDVY%2BeGCT7G2QFqp1TGbOw%3D%3D
Engineer (m/f/d) as Junior Underwriter, Klinikum am Weissenhof, Alemanha, junior, renewable energy, Management of the portfolio/decision on risk assumption/insurance contracts/Engineering studies/technical processes,25/08/22,https://www.linkedin.com/jobs/view/3207565131/?alternateChannel=search&refId=2IZUenUdq%2B%2FTh7b0fNiEwA%3D%3D&trackingId=jecXthLjXAjMK3X0UITNuQ%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BlDVY%2BeGCT7G2QFqp1TGbOw%3D%3D&lici=jecXthLjXAjMK3X0UITNuQ%3D%3D
Apprenti Contrôle de Gestion Eolien, Siemens Gamesa, França, assistent, renewable energy, structuring of management control and reporting/dashboards/PowerBI/monthly forecasts/monitoring the company's assets/Office pack, 25/08/22, https://www.linkedin.com/jobs/view/3112659725/?alternateChannel=search&refId=V10noPwLff%2FCBYtGzyZYTQ%3D%3D&trackingId=5nuiaH%2BbclSwUhAt%2BwtTJA%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BlDVY%2BeGCT7G2QFqp1TGbOw%3D%3D&lici=5nuiaH%2BbclSwUhAt%2BwtTJA%3D%3D
Carbon Management Consultant, Mott MacDonald, Espanha, junior, renewable energy, delivery of carbon / climate change assessments/ environmental impact assessments (EIAs)/ carbon footprinting/ carbon management projects/ legislation and policy influencing carbon and climate change/ISO14064/PAS2060/PAS2080/ carbon impact of transportation/ construction and the built environment/circular economy, 25/08/22, https://www.linkedin.com/jobs/view/3191389105/?alternateChannel=search&refId=fJLDbQ8QpQCM1dHBK0rbQg%3D%3D&trackingId=9nLpyhDp2EoLJT7E4GfqEg%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BlDVY%2BeGCT7G2QFqp1TGbOw%3D%3D&lici=9nLpyhDp2EoLJT7E4GfqEg%3D%3D
Data Analyst (Renewable Energy), OXBO, Espanha, junior, renewable energy, collecting and processing operational data/ analyse trends/future O&M strategies/reporting and incident tracking/Python/Power BI/SQL/ large data sets,25/08/22, https://www.linkedin.com/jobs/view/3223316351/?alternateChannel=search&refId=7OvEPNvE5QUJYsPJSsI%2FIQ%3D%3D&trackingId=UeH9ExZ60GQ5fhFJcM3oww%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BlDVY%2BeGCT7G2QFqp1TGbOw%3D%3D&lici=UeH9ExZ60GQ5fhFJcM3oww%3D%3D
Algorithms and software engineer, RatedPower, Espanha, junior, renewable energy, Java/ object-oriented programming/ optimization algorithms/ soft computing problems/ complex problems with incomplete and/or inexact information/ finding an adequate solution in a reasonable execution time/ Backend and Engineering/Metaheuristics/ fuzzy logic/Graph theory/ optimization/ statistics/Code optimization/ Git/ Unit Testing/cloud-based,25/08/22, https://www.linkedin.com/jobs/view/3120874324/?alternateChannel=search&refId=2BOsDbUDdpQ9JUKpDKzuXA%3D%3D&trackingId=1jk7rAvfkxmJbxKahNznQw%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BlDVY%2BeGCT7G2QFqp1TGbOw%3D%3D&lici=1jk7rAvfkxmJbxKahNznQw%3D%3D
Internship in Semiconductor Packaging (f/m/d), Hitachi Energy, Suíça, intern, renewable energy, near-chip cooling technologies/ power electronics modules/ 3D CAD design of complex power electronics system/ finite-elements simulations/ CAD tools/ Creo Parametric/ LabView/ Python/ data analysis, 07/09/22, https://www.linkedin.com/jobs/view/3256683990/?alternateChannel=search&refId=8CxjezYMIImkMvP%2FLWeSdQ%3D%3D&trackingId=kS5EQjJInG%2FBNepZZvbIcQ%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BuXAUlXR1RO6p%2BlrvF5IkNQ%3D%3D&lici=kS5EQjJInG%2FBNepZZvbIcQ%3D%3D
LAB ENGINEER, Ariston Group, Alemanha, assistent, renewable energy, control engineering/ electrical studies/ energy systems/ heating systems/ energy management/ building automation/ building management systems/ communications protocols/ electronics/ lab tests/ HVAC, 07/09/22, https://www.linkedin.com/jobs/view/3245074502/?alternateChannel=search&refId=8CxjezYMIImkMvP%2FLWeSdQ%3D%3D&trackingId=qKIPj1MGBrmq77om%2FujYdA%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BuXAUlXR1RO6p%2BlrvF5IkNQ%3D%3D&lici=qKIPj1MGBrmq77om%2FujYdA%3D%3D



